tag,video_url,caption,timestamp
depression,https://www.tiktok.com/@l0nelysoul0/video/7545469157597334815,,2025-11-27T23:30:36.814076
depression,https://www.tiktok.com/@shikayu/video/7132164258787265797,,2025-11-27T23:30:38.935721
depression,https://www.tiktok.com/@abeautifulmind5/video/7546319317336362242,,2025-11-27T23:30:41.222660
depression,https://www.tiktok.com/@l0nelysoul0/video/7523682249951268126,,2025-11-27T23:30:44.451382
depression,https://www.tiktok.com/@slo.fuzz/video/7511859611671006470,,2025-11-27T23:30:47.091562
anxiety,https://www.tiktok.com/@willsmith/video/7481699258819693870,,2025-11-27T23:31:04.297923
anxiety,https://www.tiktok.com/@mindscan24/video/7546303458102578445,,2025-11-27T23:31:06.922276
anxiety,https://www.tiktok.com/@hbomaxbr/video/7479060321546652933,,2025-11-27T23:31:09.540997
anxiety,https://www.tiktok.com/@lozandal/video/7476473715505499414,,2025-11-27T23:31:11.972417
anxiety,https://www.tiktok.com/@neurodivaxlx/video/7577441707655040274,,2025-11-27T23:31:14.222207
suicide,https://www.tiktok.com/@aespayarii/video/7517353184529091862,,2025-11-27T23:31:32.993816
suicide,https://www.tiktok.com/@ce1ce2ce/video/7566622681236294934,,2025-11-27T23:31:35.387657
suicide,https://www.tiktok.com/@pleasejustleavemealone5/video/7507431309715787038,,2025-11-27T23:31:37.342359
suicide,https://www.tiktok.com/@lskd.co/video/7568022297144069397,,2025-11-27T23:31:39.580823
suicide,https://www.tiktok.com/@mysuicidestory/video/7509164318500490542,,2025-11-27T23:31:41.761813
psychosis,https://www.tiktok.com/@0_guts_3/video/7559332047492222219,,2025-11-27T23:33:42.136545
psychosis,https://www.tiktok.com/@bloopybombs/video/7574309859189984543,,2025-11-27T23:33:44.885926
psychosis,https://www.tiktok.com/@trace8116/video/7572678199998467350,,2025-11-27T23:33:47.123734
psychosis,https://www.tiktok.com/@bipolarlife4/video/7545914905585618207,,2025-11-27T23:33:49.733676
psychosis,https://www.tiktok.com/@ycaruu77/video/7567570878142188818,,2025-11-27T23:33:52.320635
